review,rating,date,bank,source,review_clean
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,BOA,google_play,i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that
there is no speed,1,2025-03-19,BOA,google_play,there is no speed
"For anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,google_play,"for anyone who wants to download it, just don't!!!"
wonderful,5,2025-03-19,BOA,google_play,wonderful
all worck,5,2025-03-19,BOA,google_play,all worck
Loved it,5,2025-03-14,BOA,google_play,loved it
Wow,1,2025-03-14,BOA,google_play,wow
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,BOA,google_play,"edit: new bug, app not letting me type in my otp codes. shameful why does this app not allow me to use it while having developer options on? did y'all consider that i might, perhaps, be an actual developer? why am i expected to toggle the option on and off just to bank (restarting my phone when i do)? why is the message labled as somthing that will ""smoothen"" the experience? this is like the most ""security consultant"" thing to implement in an app. please invest in actual security, not this mess."
Improved to be the best,5,2025-03-11,BOA,google_play,improved to be the best
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,BOA,google_play,"decent, but there problems sometimes it says error when i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self boe dev fix this !!!"
BoA Greqt Ethiopian bank.,5,2025-03-11,BOA,google_play,boa greqt ethiopian bank.
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,BOA,google_play,"the bug is still there,the app crashes every time i try to log in, especially in old phones like my galaxy a32"
Almost better compared to cbe where it is not qualified for,4,2025-03-09,BOA,google_play,almost better compared to cbe where it is not qualified for
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,BOA,google_play,what awesome apps. it is very simple to use and more much important apps.
Wonderfull app,5,2025-03-08,BOA,google_play,wonderfull app
i can't use this app why?,5,2025-03-07,BOA,google_play,i can't use this app why?
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,google_play,worst mobile banking app i ever experienced i was blaming other apps but comparing with this they're too much better!!!! it clashes it takes much longer time to login while loading in short it's a complete of trash
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,BOA,google_play,bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as boa make apps like this. it is a disgrace for our country!!
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,BOA,google_play,aga b girja miss language of admin afaan oromo & other itoophiyaa languages
Good app,5,2025-03-03,BOA,google_play,good app
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,BOA,google_play,"i downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately"
It has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,google_play,it has good features but sometimes it doesn't work...0
Very poor proformance,1,2025-03-01,BOA,google_play,very poor proformance
It's not opening. Really frustrating,1,2025-03-01,BOA,google_play,it's not opening. really frustrating
Verry Amazing App from all IB,5,2025-03-01,BOA,google_play,verry amazing app from all ib
Not working on this days,1,2025-02-26,BOA,google_play,not working on this days
Thank you BoA,5,2025-02-23,BOA,google_play,thank you boa
best banking app in the wworld,5,2025-02-22,BOA,google_play,best banking app in the wworld
Nice app and it's easy to use,5,2025-02-21,BOA,google_play,nice app and it's easy to use
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,BOA,google_play,"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!"
This is help full i like ittttt,5,2025-02-14,BOA,google_play,this is help full i like ittttt
The is not functional at all?,2,2025-02-12,BOA,google_play,the is not functional at all?
Best bank,5,2025-02-08,BOA,google_play,best bank
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,BOA,google_play,make it easy and convienient to use and perfect for all to high prefrence and choice.
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,BOA,google_play,🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍
I have been using this app for two years.It is amazing.,5,2025-02-01,BOA,google_play,i have been using this app for two years.it is amazing.
Good 👍,5,2025-01-31,BOA,google_play,good 👍
Sad experience,1,2025-01-30,BOA,google_play,sad experience
Always do update and that is annoying,3,2025-01-27,BOA,google_play,always do update and that is annoying
"Best app, somehow waiting a few minutes",5,2025-01-23,BOA,google_play,"best app, somehow waiting a few minutes"
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,BOA,google_play,i can't dijitalize my atm in the apollo app on my phone
Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,google_play,whenever i try to sign in app close please fixed it out
Beter,5,2025-01-21,BOA,google_play,beter
Boa,4,2025-01-18,BOA,google_play,boa
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,BOA,google_play,በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ it's not app it's very slow ehhhh. why don't you upgrade the app???? it's always zero
Aadan Axmed Barkhadle,5,2025-01-17,BOA,google_play,aadan axmed barkhadle
😡😡😡🤬🤬🤬,1,2025-01-16,BOA,google_play,😡😡😡🤬🤬🤬
