review,rating,date,bank,source
በጣም ችግር አለበት,1,2025-08-14,Dashen,google_play
best,5,2025-08-14,Dashen,google_play
great 👍 app,5,2025-08-13,Dashen,google_play
"its a very low quality and slow application, very unreliable in times of need",1,2025-08-13,Dashen,google_play
ok,5,2025-08-13,Dashen,google_play
ok,5,2025-08-13,Dashen,google_play
very poor and time taking to use,1,2025-08-13,Dashen,google_play
it is the best app ever i have seen Dashen bank always one step a head!!!!,5,2025-08-13,Dashen,google_play
the new version is so good I like it,5,2025-08-13,Dashen,google_play
excellent,5,2025-08-13,Dashen,google_play
good,3,2025-08-13,Dashen,google_play
Good,3,2025-08-12,Dashen,google_play
good job my dashen super app,5,2025-08-12,Dashen,google_play
Some connection issues,3,2025-08-12,Dashen,google_play
verry slow app 🤢,1,2025-08-12,Dashen,google_play
best bauget app,5,2025-08-12,Dashen,google_play
its good but he said uptede me 😠🤕,2,2025-08-12,Dashen,google_play
network issue,1,2025-08-12,Dashen,google_play
እንጠቀምበት,5,2025-08-12,Dashen,google_play
nice,5,2025-08-12,Dashen,google_play
fast and easy to use great App.,5,2025-08-12,Dashen,google_play
Best Performing and Fast Financial app,5,2025-08-12,Dashen,google_play
good,5,2025-08-12,Dashen,google_play
well done keep it up,5,2025-08-12,Dashen,google_play
good but it takes forever to load,3,2025-08-12,Dashen,google_play
"It's very good, but there are some things that need to be improved by (speed & receipt view) to be competitive with the companies in the country, i.e.cbe&telebirr.",4,2025-08-12,Dashen,google_play
my favorite 💗💗💗,5,2025-08-11,Dashen,google_play
Good app,5,2025-08-11,Dashen,google_play
Good,5,2025-08-11,Dashen,google_play
"This is boring Mobile banking app, it is not work properly .so slow!",1,2025-08-11,Dashen,google_play
"improve the app, please. it is not working. It says response timeout",1,2025-08-10,Dashen,google_play
modern perfect app interface with the best banking tools 👏,5,2025-08-09,Dashen,google_play
when i tried to open the app it re-downloading something big 3GB 4GB size and after 3 hours late it will open. it's my experience Very worst app it isn't lite app not works in every situation of networks.,1,2025-08-08,Dashen,google_play
"poor, glitch stack",1,2025-08-07,Dashen,google_play
slowest banking app ever used,3,2025-08-07,Dashen,google_play
Good,1,2025-08-06,Dashen,google_play
Good 👍,5,2025-08-05,Dashen,google_play
Dashen Bank super app is the best app,5,2025-08-05,Dashen,google_play
best,5,2025-08-02,Dashen,google_play
would most likely rate it even less but it does have it's perks. But for the most part the whole app is filled with bugs and it stops being responsive almost everytime. Besides some new features and the new UI design I most definitely prefer the old amole Version. either fix this mess or bring back Amole,2,2025-08-01,Dashen,google_play
sometimes is not working to be honest,1,2025-08-01,Dashen,google_play
ok,4,2025-08-01,Dashen,google_play
very good app,5,2025-07-30,Dashen,google_play
Why isn't this app working?,5,2025-07-29,Dashen,google_play
